XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,SBIL,SBILErr,Leading,,,
1_2,XY,439,289.615715,0.371177596,8.188909326,0.012404871,0,,,
1_2,XY,440,290.3666538,0.409052418,8.339576541,0.014121211,0,,,
1_2,XY,441,288.5182728,0.341819266,7.926928723,0.01094427,0,,,
1_2,XY,442,290.0775456,0.366349954,7.769499115,0.011608355,0,,,
1_2,XY,443,293.1847507,0.408819383,7.906490558,0.013461207,0,,,
1_2,XY,451,294.8451711,0.337727857,7.606204734,0.010159344,1,,,
1_2,XY,452,291.6505013,0.437618197,8.690779565,0.015214076,0,,,
1_2,XY,453,290.8128781,0.378223338,8.229287515,0.012453077,0,,,
1_2,XY,454,288.9581038,0.336562632,8.620275559,0.012073421,0,,,
1_2,XY,455,289.4503926,0.430335211,8.101083415,0.013915903,0,,,
1_2,XY,456,288.4466554,0.365217209,8.080332327,0.011963519,0,,,
1_2,XY,457,289.835307,0.353598451,7.597657976,0.011318329,0,,,
1_2,XY,458,288.4782603,0.443499308,8.053345356,0.014846537,0,,,
1_2,XY,463,300.0554891,0.445376226,8.092628366,0.013927364,1,,,
1_2,XY,464,290.2988036,0.354676548,8.942945282,0.012782161,0,,,
1_2,XY,465,289.4236412,0.375686277,8.332473954,0.012867797,0,,,
1_2,XY,466,290.7054348,0.384929457,8.160017567,0.012488649,0,,,
1_2,XY,467,291.1032758,0.329360505,8.417841848,0.010816324,0,,,
1_2,XY,468,289.4755633,0.376978459,7.741392456,0.01200339,0,,,
1_2,XY,469,291.461819,0.345352103,7.917360598,0.010846021,0,,,
1_2,XY,470,290.7153999,0.380212689,8.183265967,0.012592609,0,,,
1_2,XY,475,300.5880688,0.310155309,7.641495019,0.009313307,1,,,
1_2,XY,476,291.3723779,0.358865344,8.226625028,0.011303093,0,,,
1_2,XY,477,289.5013862,0.3985276,8.092639757,0.013042476,0,,,
1_2,XY,478,290.8776731,0.36295627,7.966601753,0.011532975,0,,,
1_2,XY,479,290.8269385,0.42824126,8.362475282,0.013897864,0,,,
1_2,XY,480,289.7698722,0.410300829,7.719709789,0.01291205,0,,,
1_2,XY,481,291.9864431,0.36590285,7.694359858,0.011266974,0,,,
1_2,XY,482,290.0619115,0.463796387,8.135369684,0.015924207,0,,,
1_2,XY,487,296.847069,0.413100119,8.261845652,0.01310192,1,,,
1_2,XY,488,293.0050239,0.377123227,8.714957058,0.01289326,0,,,
1_2,XY,489,292.580152,0.349034293,8.423060967,0.011721966,0,,,
1_2,XY,490,288.0615014,0.426096448,8.131416771,0.014508171,0,,,
1_2,XY,491,289.3123638,0.3976755,8.694188927,0.014084034,0,,,
1_2,XY,492,288.7921632,0.369420644,8.01546873,0.011845427,0,,,
1_2,XY,493,292.4741234,0.351317366,7.740476347,0.011309226,0,,,
1_2,XY,494,290.1329614,0.351835473,7.93644304,0.011279586,0,,,
1_2,XY,502,295.2417026,0.527035102,7.705851481,0.016269448,1,,,
1_2,XY,503,293.1087081,0.331450728,8.32745153,0.010898966,0,,,
1_2,XY,504,288.5644227,0.350389196,8.561621981,0.012230906,0,,,
